date_created,contacts_n,contacts_n_1,contacts_n_2,contacts_n_3,contacts_n_4,contacts_n_5,contacts_n_6,contacts_n_7,new_type,new_market
2022-03-15,34,null,2,2,2,null,1,1,type_2,market_3
2022-03-29,7,1,6,4,0,0,0,0,type_1,market_3
2022-01-16,17,2,1,null,1,1,null,null,type_2,market_3
2022-03-20,1,null,null,null,null,null,null,null,type_4,market_3
2022-01-30,8,8,8,4,4,4,4,2,type_1,market_3
2022-02-20,104,5,5,2,1,2,null,1,type_5,market_3
2022-01-02,11,0,0,0,0,0,0,1,type_1,market_3
2022-03-23,150,21,2,3,1,2,4,5,type_5,market_3
2022-03-07,15,4,3,7,2,2,3,1,type_3,market_3
2022-03-24,12,5,2,null,4,3,null,2,type_3,market_3
2022-03-21,65,7,6,4,3,1,null,3,type_5,market_3
2022-03-31,129,8,3,null,1,2,4,2,type_5,market_3
2022-02-28,69,3,4,null,null,null,null,3,type_5,market_3
2022-01-18,30,1,6,null,null,null,null,null,type_2,market_3
2022-01-18,3,1,1,0,0,0,0,0,type_1,market_3
2022-03-24,39,2,null,null,1,5,2,null,type_2,market_3
2022-01-21,14,null,null,2,1,2,1,null,type_3,market_3
2022-02-05,89,7,5,1,null,1,2,2,type_5,market_3
2022-02-26,null,null,null,null,null,null,null,null,type_4,market_3
2022-03-28,84,16,4,11,4,3,2,1,type_5,market_3
2022-03-23,18,1,4,1,1,1,2,2,type_3,market_3
2022-01-31,13,8,4,4,4,4,2,2,type_1,market_3
2022-03-19,null,null,null,null,null,null,null,null,type_4,market_3
2022-02-22,9,2,1,null,null,null,null,null,type_3,market_3
2022-02-06,20,null,2,2,1,2,null,3,type_2,market_3
2022-01-25,9,null,null,5,1,null,null,null,type_3,market_3
2022-03-27,11,null,1,null,null,null,null,null,type_2,market_3
2022-02-19,null,null,null,null,null,null,null,null,type_4,market_3
2022-01-23,null,null,null,null,null,null,null,null,type_4,market_3
2022-03-12,5,2,0,0,0,0,0,0,type_1,market_3
2022-03-19,24,null,3,null,null,1,null,2,type_2,market_3
2022-01-08,16,null,null,null,null,null,null,null,type_2,market_3
2022-01-13,74,4,3,2,null,null,null,2,type_2,market_3
2022-03-26,13,1,2,2,null,1,null,null,type_2,market_3
2022-01-26,29,2,4,null,2,null,5,1,type_2,market_3
2022-02-08,10,4,7,5,4,10,4,5,type_1,market_3
2022-01-06,26,1,0,1,1,2,0,1,type_1,market_3
2022-02-05,7,1,null,null,1,null,null,null,type_3,market_3
2022-01-19,28,5,null,null,null,null,1,null,type_2,market_3
2022-02-15,22,1,null,null,null,2,null,2,type_2,market_3
2022-02-13,10,3,1,null,null,null,1,1,type_3,market_3
2022-03-15,25,3,4,2,null,null,3,3,type_3,market_3
2022-02-08,27,4,3,3,null,4,3,2,type_2,market_3
2022-01-31,3,null,null,null,null,null,null,null,type_4,market_3
2022-01-22,19,null,null,null,null,null,1,null,type_2,market_3
2022-03-11,16,4,3,2,7,2,1,1,type_3,market_3
2022-03-18,null,null,null,null,null,null,null,null,type_4,market_3
2022-02-18,9,2,null,1,1,null,2,1,type_3,market_3
2022-01-03,15,0,0,2,1,0,0,0,type_1,market_3
2022-01-10,1,null,null,null,null,null,null,null,type_4,market_3
2022-02-01,34,null,null,2,2,null,1,2,type_2,market_3
2022-01-12,11,3,2,1,1,null,null,null,type_3,market_3
2022-02-16,15,4,2,2,null,2,4,1,type_3,market_3
2022-03-14,13,4,3,4,2,null,null,2,type_3,market_3
2022-02-24,55,4,null,1,null,null,2,1,type_5,market_3
2022-02-15,null,null,null,1,null,null,null,null,type_4,market_3
2022-02-11,13,2,1,6,2,2,2,1,type_3,market_3
2022-01-18,14,null,null,null,null,null,null,null,type_3,market_3
2022-03-05,15,2,null,2,1,3,null,1,type_2,market_3
2022-01-21,null,null,null,null,null,null,null,null,type_4,market_3
2022-01-04,1,null,null,null,null,null,null,null,type_4,market_3
2022-03-27,5,5,null,1,1,1,1,null,type_3,market_3
2022-02-09,10,8,3,5,10,5,5,4,type_1,market_3
2022-03-12,38,4,8,6,4,2,2,null,type_5,market_3
2022-02-02,7,4,4,4,2,1,5,4,type_1,market_3
2022-03-16,14,4,4,null,2,2,1,1,type_3,market_3
2022-01-30,43,7,4,null,1,3,2,1,type_5,market_3
2022-03-10,6,0,1,1,0,0,0,0,type_1,market_3
2022-03-10,25,1,1,null,1,3,null,null,type_2,market_3
2022-02-17,5,1,null,null,null,1,null,null,type_4,market_3
2022-01-01,2,0,1,0,0,1,0,0,type_1,market_3
2022-03-04,181,44,16,10,6,6,2,6,type_5,market_3
2022-02-14,373,63,16,9,13,10,4,1,type_5,market_3
2022-01-21,173,7,2,10,2,2,4,8,type_5,market_3
2022-02-25,7,5,5,12,1,3,2,4,type_1,market_3
2022-01-25,58,4,3,6,2,1,4,10,type_5,market_3
2022-01-03,1,null,null,null,null,null,null,null,type_4,market_3
2022-01-14,1,null,null,1,null,null,null,null,type_4,market_3
2022-01-06,33,3,1,1,1,4,1,4,type_2,market_3
2022-03-05,null,null,null,null,null,null,null,null,type_4,market_3
2022-01-03,62,7,6,8,5,4,null,1,type_5,market_3
2022-02-09,70,4,10,3,3,15,5,2,type_5,market_3
2022-03-08,28,2,null,null,null,1,2,1,type_2,market_3
2022-03-22,5,0,0,0,0,0,0,1,type_1,market_3
2022-03-23,1,null,null,null,null,null,null,null,type_4,market_3
2022-02-24,4,6,3,5,13,1,3,2,type_1,market_3
2022-02-05,8,2,1,4,4,7,3,4,type_1,market_3
2022-01-12,null,1,null,null,null,null,null,null,type_4,market_3
2022-03-06,60,5,4,2,null,8,null,null,type_5,market_3
2022-03-10,105,16,3,7,11,3,10,5,type_5,market_3
2022-03-31,11,5,1,0,0,0,0,2,type_1,market_3
2022-03-11,3,2,0,2,0,2,0,0,type_1,market_3
2022-01-09,11,null,1,null,1,null,1,2,type_2,market_3
2022-02-21,4,7,2,0,6,3,5,13,type_1,market_3
2022-02-26,7,null,2,null,null,null,null,null,type_3,market_3
2022-02-06,2,1,5,5,7,3,4,10,type_1,market_3
2022-01-25,2,null,null,null,null,null,null,null,type_4,market_3
2022-01-24,null,1,null,null,null,null,null,null,type_4,market_3
2022-01-02,2,null,null,null,null,null,null,null,type_3,market_3
2022-02-21,131,10,3,1,3,null,2,1,type_5,market_3
2022-01-26,16,7,5,4,6,8,8,4,type_1,market_3
2022-01-10,4,0,0,1,1,0,1,0,type_1,market_3
2022-03-01,51,11,8,20,9,3,4,3,type_5,market_3
2022-03-30,2,null,null,null,null,null,null,null,type_4,market_3
2022-03-18,84,6,1,5,5,11,2,4,type_5,market_3
2022-02-28,22,2,4,2,4,1,0,0,type_1,market_3
2022-03-17,12,3,null,1,2,2,1,2,type_3,market_3
2022-02-15,158,17,15,15,6,2,9,4,type_5,market_3
2022-01-11,7,2,1,2,null,null,null,null,type_3,market_3
2022-02-12,11,12,5,5,4,5,3,6,type_1,market_3
2022-03-25,18,4,2,6,1,1,6,4,type_1,market_3
2022-01-01,2,null,1,1,1,null,null,null,type_3,market_3
2022-03-07,null,null,null,null,null,null,null,null,type_4,market_3
2022-01-29,12,6,8,8,4,4,4,4,type_1,market_3
2022-03-02,16,1,1,2,null,1,null,3,type_3,market_3
2022-01-27,null,null,null,null,null,null,null,null,type_4,market_3
2022-01-13,9,3,0,1,0,0,0,0,type_1,market_3
2022-01-17,5,3,null,1,2,null,null,null,type_3,market_3
2022-03-29,38,5,1,4,null,1,null,null,type_2,market_3
2022-03-27,null,null,null,null,null,null,null,null,type_4,market_3
2022-02-01,1,null,null,null,null,null,null,null,type_4,market_3
2022-01-12,54,7,9,2,3,3,1,3,type_5,market_3
2022-03-09,105,26,16,1,6,7,5,12,type_5,market_3
2022-03-06,15,null,1,1,null,null,null,null,type_2,market_3
2022-01-07,null,null,null,1,null,null,null,null,type_4,market_3
2022-03-12,22,2,1,1,1,1,1,1,type_2,market_3
2022-01-20,64,8,3,null,1,5,1,1,type_5,market_3
2022-03-18,14,1,null,3,null,null,2,null,type_3,market_3
2022-01-20,37,2,1,null,null,1,1,1,type_2,market_3
2022-03-17,null,null,null,null,null,null,null,null,type_4,market_3
2022-03-04,2,null,null,null,null,null,null,null,type_4,market_3
2022-03-15,null,null,null,null,null,null,null,null,type_4,market_3
2022-03-24,18,4,4,2,5,2,0,6,type_1,market_3
2022-03-22,null,null,1,null,null,null,null,null,type_4,market_3
2022-01-12,50,1,1,2,null,null,null,1,type_2,market_3
2022-01-08,36,3,7,6,3,3,3,1,type_5,market_3
2022-02-25,35,null,null,1,1,1,null,null,type_2,market_3
2022-02-13,17,5,4,4,5,3,6,2,type_1,market_3
2022-02-21,null,null,null,null,null,null,null,null,type_4,market_3
2022-03-02,7,3,6,0,0,0,1,0,type_1,market_3
2022-02-19,11,2,3,7,2,0,6,3,type_1,market_3
2022-02-25,1,null,null,null,null,null,null,null,type_4,market_3
2022-02-07,19,4,null,3,3,null,null,5,type_3,market_3
2022-03-23,5,3,4,4,2,6,2,0,type_1,market_3
2022-01-09,36,8,7,3,5,3,3,1,type_5,market_3
2022-01-03,10,2,2,null,null,null,1,null,type_3,market_3
2022-01-27,68,11,8,3,8,4,4,2,type_5,market_3
2022-01-14,197,11,3,1,2,4,2,7,type_5,market_3
2022-01-04,60,4,11,6,2,1,1,2,type_5,market_3
2022-03-01,14,2,2,null,1,1,3,3,type_3,market_3
2022-03-09,4,2,1,0,0,1,0,0,type_1,market_3
2022-02-23,32,2,1,2,1,null,1,1,type_2,market_3
2022-03-01,5,3,3,6,0,0,0,0,type_1,market_3
2022-01-14,34,2,null,2,null,null,null,1,type_2,market_3
2022-01-09,4,0,1,0,1,1,0,0,type_1,market_3
2022-03-04,17,3,0,0,1,0,1,0,type_1,market_3
2022-01-07,13,0,0,1,0,1,1,1,type_1,market_3
2022-01-02,32,1,null,7,2,null,null,null,type_5,market_3
2022-03-14,48,3,1,1,null,1,1,1,type_2,market_3
2022-03-24,380,25,7,2,4,2,1,2,type_5,market_3
2022-02-05,18,2,3,2,2,3,2,1,type_2,market_3
2022-02-12,18,2,2,2,null,null,null,3,type_2,market_3
2022-03-31,1,null,null,null,null,null,null,null,type_4,market_3
2022-01-14,23,2,null,null,4,null,null,null,type_3,market_3
2022-02-18,454,29,4,15,14,10,7,3,type_5,market_3
2022-02-27,9,13,1,3,2,4,0,0,type_1,market_3
2022-02-08,68,6,15,2,null,2,2,4,type_5,market_3
2022-03-21,29,1,null,1,1,null,1,null,type_2,market_3
2022-02-24,11,1,1,null,2,3,null,1,type_3,market_3
2022-01-21,6,0,0,0,0,0,0,1,type_1,market_3
2022-03-27,5,6,1,0,7,4,0,0,type_1,market_3
2022-03-09,null,null,null,null,null,null,null,null,type_4,market_3
2022-01-08,5,0,0,0,1,1,1,0,type_1,market_3
2022-01-19,72,10,9,5,null,4,1,1,type_5,market_3
2022-03-11,73,7,6,8,7,11,12,12,type_5,market_3
2022-02-07,1,null,null,null,null,null,null,null,type_4,market_3
2022-01-05,32,1,null,1,null,null,null,null,type_2,market_3
2022-02-19,7,1,3,3,4,1,null,null,type_3,market_3
2022-02-16,8,5,3,6,2,3,7,3,type_1,market_3
2022-02-01,10,1,2,null,null,null,1,null,type_3,market_3
2022-02-18,3,null,null,null,null,null,null,1,type_4,market_3
2022-03-25,1,null,null,null,null,null,1,null,type_4,market_3
2022-03-13,1,null,null,null,null,null,null,null,type_4,market_3
2022-03-15,10,0,0,0,0,0,0,0,type_1,market_3
2022-03-17,26,5,2,null,null,null,1,1,type_2,market_3
2022-02-12,4,null,null,null,null,null,1,null,type_4,market_3
2022-02-27,6,null,null,null,null,null,null,null,type_3,market_3
2022-02-11,136,8,5,5,9,18,10,5,type_5,market_3
2022-03-10,null,null,null,null,null,null,null,null,type_4,market_3
2022-03-08,18,3,8,3,2,2,2,2,type_3,market_3
2022-01-29,null,null,null,null,null,null,null,null,type_4,market_3
2022-03-25,28,2,1,3,2,3,1,null,type_2,market_3
2022-01-19,4,null,2,null,null,null,null,null,type_3,market_3
2022-01-17,1,null,null,null,null,null,null,null,type_4,market_3
2022-02-14,9,5,4,5,4,6,2,3,type_1,market_3
2022-02-19,19,null,null,null,null,null,null,2,type_2,market_3
2022-02-15,8,4,5,3,6,2,3,7,type_1,market_3
2022-02-12,131,43,7,5,6,8,13,3,type_5,market_3
2022-01-05,1,null,null,null,null,null,null,null,type_4,market_3
2022-01-30,4,3,null,null,null,null,1,1,type_3,market_3
2022-02-18,5,6,2,4,7,2,0,6,type_1,market_3
2022-02-07,11,5,4,7,3,5,10,4,type_1,market_3
2022-02-03,7,4,5,2,1,4,4,7,type_1,market_3
2022-01-22,67,5,9,2,4,null,5,4,type_5,market_3
2022-02-02,null,null,null,null,null,null,null,1,type_4,market_3
2022-02-16,98,9,16,17,3,1,17,20,type_5,market_3
2022-03-20,6,1,0,0,0,0,0,0,type_1,market_3
2022-03-20,15,1,null,1,null,null,null,null,type_2,market_3
2022-02-10,38,2,4,6,2,2,1,2,type_2,market_3
2022-02-11,22,2,3,2,1,3,1,3,type_2,market_3
2022-03-11,23,null,1,2,2,1,1,null,type_2,market_3
2022-02-10,182,22,6,3,5,null,2,9,type_5,market_3
2022-03-14,2,null,null,null,null,null,null,null,type_4,market_3
2022-03-28,12,1,3,6,4,0,0,0,type_1,market_3
2022-03-20,46,8,3,null,1,3,null,1,type_5,market_3
2022-03-17,71,29,5,2,4,3,6,5,type_5,market_3
2022-01-11,64,9,9,8,4,4,1,1,type_5,market_3
2022-01-20,10,4,null,null,3,1,null,null,type_3,market_3
2022-03-23,28,1,null,1,1,3,null,2,type_2,market_3
2022-02-25,54,4,1,4,3,1,2,5,type_5,market_3
2022-03-14,153,27,15,9,5,null,2,2,type_5,market_3
2022-03-03,1,null,null,null,null,null,null,null,type_4,market_3
2022-02-07,200,14,6,11,1,2,1,3,type_5,market_3
2022-02-10,5,null,null,null,null,null,null,null,type_4,market_3
2022-02-25,8,3,null,null,1,1,1,1,type_3,market_3
2022-03-07,171,21,20,18,15,3,4,5,type_5,market_3
2022-01-27,13,3,4,6,8,9,4,4,type_1,market_3
2022-01-23,1,null,null,null,null,1,1,null,type_3,market_3
2022-03-30,49,6,4,2,2,2,2,4,type_5,market_3
2022-01-13,24,4,null,null,null,1,null,1,type_3,market_3
2022-03-13,42,21,6,6,4,3,1,null,type_5,market_3
2022-03-07,7,3,0,0,1,0,0,0,type_1,market_3
2022-01-26,1,null,null,null,null,null,null,null,type_4,market_3
2022-03-19,45,1,2,3,null,3,2,2,type_5,market_3
2022-01-19,null,null,null,null,null,null,null,null,type_4,market_3
2022-03-30,14,2,1,1,null,2,2,1,type_3,market_3
2022-02-04,33,null,null,5,null,null,1,3,type_2,market_3
2022-01-29,20,2,null,1,null,null,null,null,type_2,market_3
2022-02-09,2,null,null,null,null,null,null,null,type_4,market_3
2022-03-29,63,7,5,1,2,null,null,1,type_5,market_3
2022-02-27,21,1,1,null,1,null,null,1,type_2,market_3
2022-02-04,1,null,null,null,null,null,null,null,type_4,market_3
2022-02-02,10,3,2,null,1,null,1,null,type_3,market_3
2022-03-08,null,null,null,null,null,null,1,null,type_4,market_3
2022-03-06,3,0,0,0,1,0,0,0,type_1,market_3
2022-02-28,3,null,1,null,1,null,null,null,type_3,market_3
2022-01-10,21,1,null,null,null,null,1,1,type_2,market_3
2022-01-15,44,4,1,3,3,1,1,null,type_5,market_3
2022-01-06,2,null,null,null,1,null,null,null,type_4,market_3
2022-01-10,66,13,4,10,6,5,3,1,type_5,market_3
2022-01-26,240,13,108,5,2,7,12,8,type_5,market_3
2022-02-05,null,1,null,null,null,null,null,null,type_4,market_3
2022-01-08,7,null,1,null,2,null,2,1,type_3,market_3
2022-03-01,1,null,null,null,null,null,null,null,type_4,market_3
2022-03-02,null,null,null,null,null,null,null,null,type_4,market_3
2022-01-06,344,11,10,1,4,12,5,5,type_5,market_3
2022-03-03,10,4,1,0,1,2,1,0,type_1,market_3
2022-03-05,4,0,1,0,0,0,0,0,type_1,market_3
2022-01-29,3,null,1,null,null,null,null,null,type_3,market_3
2022-02-17,10,3,6,2,3,7,2,0,type_1,market_3
2022-01-19,3,1,0,1,0,0,0,0,type_1,market_3
2022-01-31,29,1,1,1,1,1,1,1,type_2,market_3
2022-03-19,4,null,null,null,null,null,null,null,type_3,market_3
2022-01-28,38,2,2,1,2,2,1,1,type_2,market_3
2022-02-09,11,null,3,1,1,3,null,null,type_3,market_3
2022-01-05,25,1,2,null,null,1,1,1,type_3,market_3
2022-01-16,34,3,2,3,1,3,1,2,type_5,market_3
2022-01-01,31,2,null,1,3,null,2,null,type_5,market_3
2022-02-03,null,null,null,null,null,null,null,null,type_4,market_3
2022-03-21,null,null,null,null,null,null,null,null,type_4,market_3
2022-03-30,4,6,4,0,0,0,0,0,type_1,market_3
2022-02-23,3,null,null,null,null,null,null,null,type_4,market_3
2022-03-08,94,19,25,15,2,3,8,2,type_5,market_3
2022-02-27,39,6,1,3,null,2,7,2,type_5,market_3
2022-01-07,75,6,3,11,7,6,6,4,type_5,market_3
2022-03-21,4,0,0,0,0,1,0,0,type_1,market_3
2022-02-01,129,15,5,8,4,2,4,6,type_5,market_3
2022-01-17,9,0,0,0,0,0,0,0,type_1,market_3
2022-03-16,186,33,20,6,4,4,7,8,type_5,market_3
2022-01-21,17,null,null,1,2,1,1,null,type_2,market_3
2022-01-15,null,null,null,null,null,null,null,null,type_4,market_3
2022-03-02,87,28,20,9,3,24,3,null,type_5,market_3
2022-03-28,40,4,1,2,2,null,null,2,type_2,market_3
2022-01-12,11,1,2,0,1,0,0,0,type_1,market_3
2022-01-23,6,6,4,9,6,3,4,6,type_1,market_3
2022-02-13,29,3,3,3,1,null,2,null,type_2,market_3
2022-02-21,38,2,1,1,1,null,null,null,type_2,market_3
2022-03-29,13,2,2,null,null,null,null,2,type_3,market_3
2022-03-26,11,3,6,2,0,7,4,0,type_1,market_3
2022-03-05,127,16,7,6,5,null,6,null,type_5,market_3
2022-03-09,13,8,4,4,2,4,8,4,type_3,market_3
2022-02-21,14,null,5,2,1,1,null,2,type_3,market_3
2022-02-26,25,null,2,1,null,null,null,null,type_2,market_3
2022-03-07,33,4,2,1,null,1,null,2,type_2,market_3
2022-02-03,30,3,2,1,2,null,1,4,type_2,market_3
2022-02-14,7,null,null,null,1,null,null,null,type_4,market_3
2022-01-09,null,1,null,null,null,null,null,null,type_4,market_3
2022-01-16,null,null,null,null,null,null,null,null,type_4,market_3
2022-01-26,12,1,null,null,null,null,null,null,type_3,market_3
2022-01-04,28,1,null,null,null,null,1,2,type_2,market_3
2022-02-20,6,3,null,6,2,null,1,null,type_3,market_3
2022-01-06,14,1,1,null,1,null,2,3,type_3,market_3
2022-03-04,24,1,1,2,null,null,2,2,type_2,market_3
2022-02-06,5,2,1,null,2,1,null,null,type_3,market_3
2022-02-14,21,3,null,1,1,null,1,null,type_3,market_3
2022-02-28,null,null,null,null,null,null,null,null,type_4,market_3
2022-01-16,5,0,0,0,0,0,0,0,type_1,market_3
2022-03-31,29,3,2,1,1,null,null,null,type_2,market_3
2022-01-22,8,5,5,4,9,6,4,4,type_1,market_3
2022-01-22,7,null,1,null,null,2,null,1,type_3,market_3
2022-02-23,259,4,2,3,2,3,7,11,type_5,market_3
2022-03-09,33,2,null,null,1,2,2,3,type_2,market_3
2022-03-18,27,2,null,3,null,2,1,null,type_2,market_3
2022-02-11,3,null,null,null,null,null,null,1,type_4,market_3
2022-02-20,27,1,null,1,1,null,1,null,type_2,market_3
2022-02-02,28,null,2,1,1,1,null,1,type_2,market_3
2022-01-28,17,null,1,1,1,2,1,1,type_3,market_3
2022-03-11,null,null,1,1,null,null,null,null,type_4,market_3
2022-02-04,8,4,2,2,4,4,7,3,type_1,market_3
2022-02-10,15,5,4,10,4,4,4,5,type_1,market_3
2022-02-16,null,null,1,null,null,null,null,null,type_4,market_3
2022-03-28,null,null,null,null,null,null,null,null,type_4,market_3
2022-01-25,6,9,6,3,4,6,9,8,type_1,market_3
2022-01-20,5,0,0,0,0,0,0,0,type_1,market_3
2022-01-08,null,null,1,null,null,null,null,null,type_4,market_3
2022-03-13,4,0,0,0,0,0,0,0,type_1,market_3
2022-02-22,14,5,0,6,3,5,12,1,type_1,market_3
2022-03-14,5,0,1,0,0,0,0,1,type_1,market_3
2022-02-03,12,1,null,null,null,1,null,null,type_3,market_3
2022-01-01,1,null,null,null,null,null,null,null,type_4,market_3
2022-02-24,23,2,1,null,null,1,1,null,type_2,market_3
2022-03-20,5,null,1,1,null,null,null,null,type_3,market_3
2022-01-02,null,null,null,null,null,null,null,null,type_4,market_3
2022-01-11,3,2,1,2,0,1,0,0,type_1,market_3
2022-01-17,40,4,1,3,null,2,null,null,type_2,market_3
2022-03-03,46,null,1,null,2,3,1,null,type_2,market_3
2022-01-22,null,null,null,null,null,null,null,null,type_4,market_3
2022-02-26,63,7,7,2,null,3,5,5,type_5,market_3
2022-03-17,4,1,0,0,0,0,0,1,type_1,market_3
2022-01-29,112,10,6,4,null,1,2,1,type_5,market_3
2022-01-09,2,1,null,2,null,1,null,null,type_3,market_3
2022-02-17,285,138,12,null,2,7,3,3,type_5,market_3
2022-02-23,14,1,null,null,null,null,null,2,type_3,market_3
2022-01-18,null,null,null,null,null,null,null,null,type_4,market_3
2022-03-06,5,3,null,null,1,1,3,2,type_3,market_3
2022-01-31,87,13,1,null,3,1,null,2,type_5,market_3
2022-03-26,null,null,null,null,null,null,null,null,type_4,market_3
2022-01-05,131,25,3,1,null,3,3,2,type_5,market_3
2022-02-20,5,3,8,3,0,6,3,5,type_1,market_3
2022-03-03,168,25,11,11,27,4,4,1,type_5,market_3
2022-01-17,58,5,5,1,7,2,null,3,type_5,market_3
2022-01-16,7,1,null,null,null,null,null,null,type_3,market_3
2022-01-24,32,null,null,1,null,null,3,1,type_2,market_3
2022-01-02,14,null,null,2,null,null,null,null,type_2,market_3
2022-02-10,8,1,null,null,3,1,3,1,type_3,market_3
2022-02-13,189,60,24,10,5,5,7,1,type_5,market_3
2022-02-27,null,null,null,null,null,null,null,null,type_4,market_3
2022-02-04,12,3,2,1,null,1,null,null,type_3,market_3
2022-01-07,9,2,null,3,1,null,2,null,type_3,market_3
2022-01-14,11,0,0,0,0,0,0,0,type_1,market_3
2022-03-03,10,1,null,1,1,1,1,4,type_3,market_3
2022-03-22,19,null,1,null,null,1,1,null,type_2,market_3
2022-01-24,8,4,9,6,4,4,7,8,type_1,market_3
2022-02-04,104,7,4,8,7,4,4,5,type_5,market_3
2022-02-13,1,1,null,null,null,1,null,null,type_4,market_3
2022-01-11,24,2,null,null,1,1,null,1,type_2,market_3
2022-02-26,7,5,14,1,3,2,5,0,type_1,market_3
2022-01-28,3,null,null,null,null,null,null,null,type_4,market_3
2022-02-01,14,5,5,5,4,2,1,4,type_1,market_3
2022-02-06,39,4,2,2,1,1,3,2,type_5,market_3
2022-03-26,55,9,12,10,2,5,2,2,type_5,market_3
2022-02-24,3,null,null,null,null,null,null,null,type_4,market_3
2022-03-25,16,3,1,4,1,1,1,null,type_3,market_3
2022-03-18,3,0,0,0,1,0,0,0,type_1,market_3
2022-02-28,37,3,1,1,null,1,null,null,type_2,market_3
2022-02-18,27,1,1,3,2,null,2,null,type_2,market_3
2022-02-20,null,null,null,null,null,null,null,null,type_4,market_3
2022-03-21,12,1,null,1,1,1,null,null,type_3,market_3
2022-03-19,null,1,0,0,0,0,0,0,type_1,market_3
2022-01-01,7,null,null,1,null,null,null,null,type_2,market_3
2022-03-25,525,13,5,9,8,2,15,1,type_5,market_3
2022-03-24,1,null,null,null,null,null,null,null,type_4,market_3
2022-02-22,41,1,1,null,1,1,1,null,type_2,market_3
2022-02-23,8,0,6,3,5,12,1,3,type_1,market_3
2022-03-12,11,4,4,5,1,null,null,null,type_3,market_3
2022-01-24,12,1,1,2,2,1,1,2,type_3,market_3
2022-02-22,2,1,null,null,null,null,null,1,type_4,market_3
2022-03-16,11,2,0,0,0,0,0,0,type_1,market_3
2022-01-18,68,5,4,2,2,2,7,1,type_5,market_3
2022-03-29,null,1,null,null,null,null,null,null,type_4,market_3
2022-03-08,6,0,1,1,1,0,0,1,type_1,market_3
2022-01-23,43,4,3,2,null,2,4,null,type_5,market_3
2022-03-04,14,2,1,1,null,5,5,5,type_3,market_3
2022-01-28,474,12,4,13,11,6,3,6,type_5,market_3
2022-03-28,24,3,4,3,1,1,null,null,type_3,market_3
2022-03-26,10,1,3,1,2,2,1,2,type_3,market_3
2022-03-31,22,1,1,null,1,null,null,1,type_3,market_3
2022-01-15,2,0,0,0,0,0,1,0,type_1,market_3
2022-03-10,14,8,3,2,2,7,3,2,type_3,market_3
2022-01-10,12,1,4,4,1,1,1,null,type_3,market_3
2022-03-06,null,null,null,null,null,null,null,null,type_4,market_3
2022-02-19,81,6,8,7,6,2,1,1,type_5,market_3
